method,λ,group_balance,epoch,train_loss,overall_acc,wga,worst_group,eqodd,acc_Young_NonGray,acc_Young_Gray,acc_NonYoung_NonGray,acc_NonYoung_Gray
ERM,0.0,none,1,nan,0.2544,0.0000,NonYoung_Gray,0.0080,0.9878,0.9958,0.0050,0.0000
ERM,0.0,none,2,nan,0.8391,0.3738,Young_NonGray,0.5338,0.3738,0.9076,0.9635,0.7600
ERM,0.0,none,3,nan,0.8536,0.4439,Young_NonGray,0.5094,0.4439,0.9533,0.9610,0.6000
ERM,0.0,none,4,nan,0.8584,0.4388,Young_NonGray,0.5166,0.4388,0.9554,0.9687,0.6000
ERM,0.0,none,5,nan,0.8604,0.4503,Young_NonGray,0.5073,0.4503,0.9575,0.9680,0.6000
ERM,0.0,none,6,nan,0.8601,0.4459,Young_NonGray,0.5117,0.4459,0.9575,0.9689,0.6000
ERM,0.0,none,7,nan,0.8622,0.4681,Young_NonGray,0.4937,0.4681,0.9618,0.9654,0.5600
ERM,0.0,none,8,nan,0.8643,0.4723,Young_NonGray,0.4916,0.4723,0.9639,0.9668,0.5600
ERM,0.0,none,9,nan,0.8673,0.5089,Young_NonGray,0.4635,0.5089,0.9724,0.9602,0.5600
ERM,0.0,none,10,nan,0.8679,0.5048,Young_NonGray,0.4676,0.5048,0.9724,0.9622,0.5200
FSC,1.5,none,1,nan,0.2543,0.0000,NonYoung_Gray,0.0076,0.9861,0.9936,0.0055,0.0000
FSC,1.5,none,2,nan,0.7685,0.0906,Young_NonGray,0.2151,0.0906,0.3057,0.9849,0.9600
FSC,1.5,none,3,nan,0.8151,0.2563,Young_NonGray,0.5367,0.2563,0.7930,0.9709,0.8800
FSC,1.5,none,4,nan,0.8313,0.3149,Young_NonGray,0.5641,0.3149,0.8790,0.9711,0.8000
FSC,1.5,none,5,nan,0.8375,0.3501,Young_NonGray,0.5660,0.3501,0.9161,0.9674,0.7200
FSC,1.5,none,6,nan,0.8385,0.3491,Young_NonGray,0.5702,0.3491,0.9193,0.9688,0.7200
FSC,1.5,none,7,nan,0.8473,0.4031,Young_NonGray,0.5544,0.4031,0.9575,0.9635,0.6000
FSC,1.5,none,8,nan,0.8525,0.4102,Young_NonGray,0.5526,0.4102,0.9628,0.9681,0.6000
FSC,1.5,none,9,nan,0.8567,0.4486,Young_NonGray,0.5206,0.4486,0.9692,0.9629,0.6000
FSC,1.5,none,10,nan,0.8585,0.4549,Young_NonGray,0.5143,0.4549,0.9692,0.9635,0.5600
FSC,1.5,oversampling,1,8.0919,0.2534,0.0000,NonYoung_Gray,0.0047,0.9900,0.9947,0.0030,0.0000
FSC,1.5,oversampling,2,7.4072,0.8030,0.5228,Young_NonGray,0.3381,0.5228,0.8609,0.8769,0.7600
FSC,1.5,oversampling,3,7.0425,0.8166,0.5800,Young_NonGray,0.3319,0.5800,0.9119,0.8762,0.6400
FSC,1.5,oversampling,4,6.8284,0.8224,0.5961,Young_NonGray,0.3221,0.5961,0.9183,0.8791,0.6400
FSC,1.5,oversampling,5,6.7310,0.8241,0.6005,Young_NonGray,0.3177,0.6005,0.9183,0.8802,0.6400
FSC,1.5,oversampling,6,6.7018,0.8227,0.6120,Young_NonGray,0.3105,0.6120,0.9225,0.8749,0.6400
FSC,1.5,oversampling,7,6.6381,0.8242,0.5200,NonYoung_Gray,0.3488,0.6394,0.9342,0.8688,0.5200
FSC,1.5,oversampling,8,6.5444,0.8170,0.4800,NonYoung_Gray,0.3657,0.6851,0.9480,0.8457,0.4800
FSC,1.5,oversampling,9,6.4708,0.8252,0.4800,NonYoung_Gray,0.3800,0.6736,0.9469,0.8600,0.4800
FSC,1.5,oversampling,10,6.4220,0.8272,0.4800,NonYoung_Gray,0.3810,0.6790,0.9480,0.8610,0.4800
FSC,1.5,reweighting,1,nan,0.2538,0.0000,NonYoung_Gray,0.0070,0.9888,0.9958,0.0038,0.0000
FSC,1.5,reweighting,2,nan,0.4922,0.4482,NonYoung_NonGray,0.2318,0.6074,0.6773,0.4482,0.6800
FSC,1.5,reweighting,3,nan,0.6288,0.5900,Young_NonGray,0.2178,0.5900,0.8079,0.6280,0.6800
FSC,1.5,reweighting,4,nan,0.7256,0.4989,Young_NonGray,0.3121,0.4989,0.8110,0.7829,0.6800
FSC,1.5,reweighting,5,nan,0.7542,0.4894,Young_NonGray,0.3397,0.4894,0.8291,0.8227,0.7200
FSC,1.5,reweighting,6,nan,0.7585,0.4747,Young_NonGray,0.3576,0.4747,0.8323,0.8324,0.6800
FSC,1.5,reweighting,7,nan,0.7903,0.4750,Young_NonGray,0.4030,0.4750,0.8779,0.8720,0.7200
FSC,1.5,reweighting,8,nan,0.8100,0.4425,Young_NonGray,0.4291,0.4425,0.8715,0.9077,0.8000
FSC,1.5,reweighting,9,nan,0.8156,0.4598,Young_NonGray,0.4298,0.4598,0.8896,0.9092,0.8400
FSC,1.5,reweighting,10,nan,0.8198,0.4679,Young_NonGray,0.4292,0.4679,0.8970,0.9122,0.8000
